id,name,gender,age,traits,status,interest
547,Linda Johnson,female,39,outgoing,entrepreneur, family-friendly movies
548,Mary Martinez,male,32,compassionate,scientist," classic movies,  romantic movies,  thriller movies,  sci-fi movies"
549,Jane Davis,female,32,"ambitious, outgoing, patient, caring",photographer," action movies,  romantic movies"
550,David Smith,male,51,"caring, empathetic, fun-loving, ambitious, energetic",nurse," romantic movies,  family-friendly movies,  comedy movies,  documentaries"
551,Michael Smith,female,65,"empathetic, outgoing",teacher," comedy movies,  romantic movies"
552,Sarah Garcia,male,41,"compassionate, outgoing",designer," documentaries,  comedy movies,  romantic movies"
553,Mary Garcia,female,44,"ambitious, creative, analytical, meticulous",photographer," sci-fi movies,  action movies,  comedy movies,  family-friendly movies"
554,Jane Martinez,male,50,"optimistic, introspective",musician," documentaries,  romantic movies,  thriller movies,  sci-fi movies,  classic movies"
555,John Brown,female,31,"creative, empathetic, ambitious",nurse," sci-fi movies,  documentaries,  action movies,  family-friendly movies"
556,James Smith,male,45,empathetic,nurse," thriller movies,  documentaries"
557,Linda Williams,female,42,"caring, ambitious, creative, fun-loving",artist, classic movies
558,Robert Johnson,male,54,"optimistic, introspective",entrepreneur," comedy movies,  documentaries,  family-friendly movies,  classic movies,  thriller movies"
559,Robert Brown,female,24,"compassionate, creative, energetic, meticulous, adventurous",retired," classic movies,  sci-fi movies,  romantic movies"
560,David Jones,male,43,"introspective, energetic, fun-loving, independent",engineer," action movies,  romantic movies"
561,Linda Martinez,female,57,"outgoing, creative",entrepreneur," classic movies,  comedy movies"
562,Sarah Garcia,male,41,"practical, analytical, independent",designer," romantic movies,  classic movies,  sci-fi movies"
563,James Davis,female,55,"practical, energetic, ambitious",writer," family-friendly movies,  thriller movies,  classic movies"
564,John Garcia,male,51,"meticulous, creative, outgoing",doctor," romantic movies,  family-friendly movies,  sci-fi movies,  comedy movies,  classic movies"
565,Michael Taylor,female,41,"fun-loving, ambitious",teacher, classic movies
566,Linda Johnson,male,23,"meticulous, adventurous, analytical, creative",nurse," comedy movies,  family-friendly movies"
567,Robert Brown,female,52,"fun-loving, creative, analytical",retired," romantic movies,  documentaries,  thriller movies,  classic movies"
568,Jane Davis,male,49,independent,writer," action movies,  family-friendly movies,  romantic movies,  comedy movies"
569,John Smith,female,33,"independent, practical, creative",engineer, classic movies
570,Michael Smith,male,27,"caring, creative",nurse," romantic movies,  thriller movies"
571,Jane Davis,female,29,"caring, energetic",photographer," romantic movies,  sci-fi movies,  documentaries,  family-friendly movies"
572,James Smith,male,41,"caring, practical, creative, optimistic, empathetic",actor," romantic movies,  action movies,  thriller movies"
573,Robert Brown,female,57,"practical, adventurous",teacher, thriller movies
574,Jane Johnson,male,63,"creative, analytical",photographer," family-friendly movies,  classic movies,  documentaries"
575,Linda Martinez,female,27,meticulous,retired," sci-fi movies,  action movies,  classic movies,  thriller movies"
576,Sarah Jones,male,70,"outgoing, analytical, meticulous, caring, practical",doctor, comedy movies
577,Michael Davis,female,66,independent,nurse," thriller movies,  sci-fi movies,  romantic movies,  classic movies"
578,Michael Brown,male,36,"caring, patient",doctor," documentaries,  thriller movies"
579,David Martinez,female,40,"creative, caring, independent",entrepreneur," family-friendly movies,  action movies,  comedy movies,  sci-fi movies"
580,Michael Miller,male,20,"adventurous, energetic",doctor," documentaries,  thriller movies,  action movies,  family-friendly movies"
581,David Davis,female,64,"fun-loving, patient, adventurous, practical, optimistic",retired, classic movies
582,James Garcia,male,39,"creative, energetic",student," comedy movies,  family-friendly movies"
583,John Brown,female,67,"compassionate, meticulous",farmer, sci-fi movies
584,John Johnson,male,33,"creative, introspective, energetic",engineer," classic movies,  sci-fi movies,  comedy movies,  documentaries,  action movies"
585,Emily Davis,female,50,"independent, practical, creative, outgoing",farmer," action movies,  romantic movies,  thriller movies,  classic movies"
586,Mary Williams,male,29,"outgoing, analytical",engineer," comedy movies,  thriller movies,  romantic movies,  classic movies"
587,Michael Smith,female,45,caring,doctor," thriller movies,  action movies,  classic movies,  sci-fi movies"
588,Michael Brown,male,21,"caring, outgoing",lawyer," thriller movies,  family-friendly movies"
589,John Jones,female,33,optimistic,lawyer," family-friendly movies,  sci-fi movies,  classic movies,  action movies,  romantic movies"
590,Mary Garcia,male,65,"independent, practical",musician," sci-fi movies,  documentaries,  classic movies,  thriller movies"
591,David Williams,female,62,"fun-loving, caring, introspective",actor," romantic movies,  documentaries"
592,Linda Garcia,male,56,"introspective, fun-loving",artist," romantic movies,  sci-fi movies,  thriller movies"
593,Michael Johnson,female,30,energetic,musician, classic movies
594,James Jones,male,29,"energetic, optimistic",photographer," comedy movies,  family-friendly movies,  thriller movies"
595,Emily Martinez,female,39,compassionate,teacher, action movies
596,Jane Garcia,male,42,introspective,engineer," documentaries,  family-friendly movies"
597,Jane Brown,female,24,"creative, meticulous, practical, introspective, patient",artist," thriller movies,  classic movies,  family-friendly movies,  romantic movies,  sci-fi movies"
598,Jane Miller,male,28,"outgoing, optimistic, caring, practical",writer, documentaries
599,Linda Davis,female,63,"introspective, compassionate",actor, thriller movies
600,Michael Garcia,male,38,introspective,nurse," sci-fi movies,  comedy movies,  thriller movies"
601,David Jones,female,24,"practical, adventurous, patient",musician," thriller movies,  sci-fi movies,  classic movies,  action movies,  romantic movies"
602,Emily Brown,male,41,"ambitious, energetic",engineer," documentaries,  family-friendly movies,  thriller movies"
603,Sarah Miller,female,54,"meticulous, ambitious, introspective",designer," action movies,  comedy movies,  classic movies"
604,Linda Miller,male,30,"analytical, introspective, adventurous, outgoing, empathetic",musician," action movies,  romantic movies,  sci-fi movies,  comedy movies"
605,Emily Smith,female,25,"patient, analytical, meticulous, compassionate",writer, documentaries
606,Emily Taylor,male,33,"fun-loving, adventurous, independent, patient, optimistic",doctor," thriller movies,  romantic movies,  classic movies,  family-friendly movies,  documentaries"
607,John Miller,female,24,"outgoing, adventurous, meticulous, fun-loving",farmer," documentaries,  sci-fi movies,  action movies,  thriller movies"
608,Emily Martinez,male,64,"ambitious, empathetic, compassionate, adventurous",farmer," romantic movies,  documentaries,  action movies"
609,Emily Martinez,female,24,patient,photographer," comedy movies,  thriller movies"
610,Mary Miller,male,58,"outgoing, practical",musician," sci-fi movies,  comedy movies"
611,Robert Davis,female,41,meticulous,retired," sci-fi movies,  family-friendly movies,  documentaries,  classic movies"
612,Linda Martinez,male,58,caring,doctor," action movies,  romantic movies"
613,David Miller,female,56,"adventurous, independent, outgoing, analytical, optimistic",designer," thriller movies,  classic movies,  action movies,  comedy movies"
614,Michael Johnson,male,42,"patient, caring, compassionate",student, action movies
615,Emily Smith,female,64,"empathetic, adventurous, introspective",nurse," family-friendly movies,  romantic movies,  sci-fi movies,  classic movies,  documentaries"
616,John Smith,male,67,"ambitious, patient, fun-loving, caring",writer," classic movies,  comedy movies,  action movies,  thriller movies"
617,Michael Williams,female,47,"optimistic, outgoing, empathetic, practical, energetic",retired," classic movies,  family-friendly movies,  action movies,  documentaries,  sci-fi movies"
618,Sarah Jones,male,65,"creative, ambitious, adventurous, introspective, analytical",teacher," romantic movies,  comedy movies,  documentaries,  classic movies"
619,Sarah Davis,female,51,"ambitious, optimistic",engineer, classic movies
620,Michael Garcia,male,65,"optimistic, ambitious, patient, compassionate, adventurous",farmer," comedy movies,  sci-fi movies,  romantic movies,  thriller movies,  classic movies"
621,John Martinez,female,39,"fun-loving, introspective, meticulous",farmer," documentaries,  sci-fi movies,  romantic movies,  action movies"
622,Michael Garcia,male,21,"empathetic, ambitious",retired," comedy movies,  classic movies,  sci-fi movies,  documentaries,  action movies"
623,Jane Miller,female,28,"caring, analytical, empathetic, compassionate",farmer," comedy movies,  sci-fi movies,  action movies,  classic movies,  thriller movies"
624,Emily Brown,male,28,"practical, analytical",lawyer," action movies,  classic movies"
625,Robert Martinez,female,56,"independent, optimistic, empathetic",artist," comedy movies,  classic movies,  action movies,  romantic movies,  documentaries"
626,Robert Garcia,male,58,"adventurous, optimistic, compassionate",nurse, romantic movies
627,Michael Martinez,female,31,outgoing,engineer," romantic movies,  action movies"
628,Emily Smith,male,55,"adventurous, caring, practical",student," comedy movies,  romantic movies,  action movies,  sci-fi movies,  classic movies"
629,James Williams,female,41,"independent, introspective",artist, documentaries
630,Sarah Johnson,male,22,"fun-loving, introspective, caring",doctor, documentaries
631,Robert Brown,female,58,"creative, patient",doctor," thriller movies,  sci-fi movies"
632,Linda Davis,male,44,"empathetic, optimistic, caring, energetic",photographer," romantic movies,  documentaries"
633,John Johnson,female,39,"ambitious, introspective, fun-loving",student," documentaries,  sci-fi movies"
634,David Davis,male,32,"independent, fun-loving",nurse," comedy movies,  action movies,  sci-fi movies,  family-friendly movies"
635,James Davis,female,47,"adventurous, independent, outgoing, optimistic",engineer," family-friendly movies,  documentaries,  sci-fi movies,  action movies,  comedy movies"
636,Jane Martinez,male,23,"empathetic, adventurous, patient, meticulous",lawyer," documentaries,  family-friendly movies,  classic movies,  thriller movies,  comedy movies"
637,James Davis,female,26,compassionate,doctor," documentaries,  romantic movies,  action movies"
638,Robert Jones,male,22,"outgoing, fun-loving, energetic",nurse, family-friendly movies
639,Linda Jones,female,53,"fun-loving, compassionate, creative, empathetic",farmer," family-friendly movies,  documentaries"
640,Sarah Johnson,male,70,"creative, meticulous, ambitious",artist," comedy movies,  action movies,  sci-fi movies,  family-friendly movies"
641,Jane Taylor,female,22,"optimistic, creative, compassionate",artist," action movies,  documentaries"
642,Michael Martinez,male,42,"compassionate, ambitious, independent, optimistic, energetic",teacher," comedy movies,  action movies,  family-friendly movies"
643,James Smith,female,70,"adventurous, energetic, ambitious, creative, compassionate",lawyer, family-friendly movies
644,Linda Miller,male,69,"patient, ambitious, practical, optimistic, creative",photographer," romantic movies,  action movies,  sci-fi movies,  family-friendly movies,  documentaries"
645,Jane Martinez,female,22,analytical,student, action movies
646,Michael Smith,male,64,"compassionate, patient, fun-loving, independent",nurse," romantic movies,  thriller movies,  classic movies,  documentaries"
647,Linda Garcia,female,56,"creative, fun-loving",scientist," documentaries,  action movies,  thriller movies,  comedy movies"
648,Sarah Johnson,male,52,"introspective, patient, creative",scientist," comedy movies,  romantic movies,  documentaries,  sci-fi movies,  thriller movies"
649,Mary Garcia,female,34,"optimistic, outgoing",designer," sci-fi movies,  action movies,  documentaries"
650,Michael Brown,male,35,"fun-loving, practical, compassionate, optimistic, outgoing",writer," romantic movies,  classic movies,  sci-fi movies"
651,James Brown,female,57,"creative, optimistic, adventurous, analytical",actor, romantic movies
652,Emily Taylor,male,44,"introspective, compassionate",scientist," sci-fi movies,  thriller movies,  comedy movies,  romantic movies"
653,Linda Davis,female,67,"analytical, energetic",musician," comedy movies,  documentaries,  family-friendly movies,  classic movies"
654,Mary Smith,male,69,"empathetic, creative, patient, adventurous",student," family-friendly movies,  action movies,  thriller movies,  romantic movies"
655,Linda Williams,female,53,independent,student," sci-fi movies,  romantic movies,  thriller movies"
656,Linda Williams,male,37,"ambitious, outgoing, energetic, analytical",photographer," comedy movies,  action movies,  romantic movies,  thriller movies,  sci-fi movies"
657,John Taylor,female,25,caring,student, family-friendly movies
658,John Brown,male,46,"optimistic, creative, ambitious, analytical, compassionate",artist," family-friendly movies,  documentaries,  action movies,  sci-fi movies"
659,Michael Johnson,female,27,"practical, creative, energetic, compassionate",designer," classic movies,  action movies,  family-friendly movies,  thriller movies"
660,Emily Davis,male,61,"meticulous, optimistic",designer, action movies
661,James Smith,female,32,"caring, empathetic, adventurous, practical, independent",teacher," classic movies,  thriller movies"
662,David Williams,male,28,"compassionate, creative",entrepreneur, action movies
663,Robert Miller,female,62,"outgoing, caring, introspective, energetic",farmer," sci-fi movies,  action movies,  classic movies,  comedy movies,  romantic movies"
664,Sarah Johnson,male,21,"analytical, optimistic, patient, ambitious",student," action movies,  romantic movies"
665,Sarah Johnson,female,42,"practical, optimistic, independent, outgoing, empathetic",entrepreneur, comedy movies
666,James Williams,male,63,creative,entrepreneur," romantic movies,  comedy movies,  classic movies,  thriller movies,  family-friendly movies"
667,James Martinez,female,68,"compassionate, introspective",teacher," thriller movies,  romantic movies,  documentaries"
668,James Garcia,male,69,"independent, caring, practical",lawyer," thriller movies,  documentaries,  romantic movies"
669,David Brown,female,36,"fun-loving, independent, outgoing, optimistic, energetic",lawyer," family-friendly movies,  thriller movies,  sci-fi movies,  action movies"
670,Sarah Jones,male,40,"meticulous, fun-loving, energetic, caring",retired," family-friendly movies,  romantic movies,  classic movies,  sci-fi movies"
671,Sarah Davis,female,70,"meticulous, ambitious, practical, outgoing",teacher," family-friendly movies,  action movies,  documentaries"
672,Robert Taylor,male,38,"adventurous, caring, energetic, empathetic, fun-loving",lawyer," documentaries,  classic movies,  romantic movies"
673,Emily Davis,female,25,"compassionate, introspective",actor," classic movies,  sci-fi movies,  family-friendly movies"
674,Robert Davis,male,47,"energetic, patient, practical",designer, documentaries
675,David Taylor,female,54,"compassionate, empathetic, fun-loving, independent",retired," action movies,  romantic movies,  family-friendly movies,  comedy movies,  classic movies"
676,Mary Smith,male,43,"empathetic, ambitious, outgoing",doctor, sci-fi movies
677,Michael Williams,female,21,caring,writer," action movies,  documentaries,  sci-fi movies,  family-friendly movies"
678,Mary Garcia,male,61,"patient, meticulous, ambitious, empathetic, analytical",nurse," comedy movies,  romantic movies,  action movies,  classic movies,  sci-fi movies"
679,Sarah Davis,female,47,"analytical, ambitious, practical, introspective",lawyer," romantic movies,  comedy movies,  documentaries,  thriller movies,  family-friendly movies"
680,John Garcia,male,37,"patient, practical, optimistic, outgoing",artist," family-friendly movies,  thriller movies,  comedy movies"
681,John Jones,female,70,"empathetic, energetic, outgoing, fun-loving",writer," thriller movies,  comedy movies,  sci-fi movies,  romantic movies"
682,James Davis,male,35,"energetic, independent, analytical",entrepreneur, action movies
683,James Brown,female,38,patient,writer," comedy movies,  classic movies,  romantic movies"
684,John Martinez,male,29,energetic,designer," documentaries,  sci-fi movies,  thriller movies,  romantic movies,  family-friendly movies"
685,Jane Brown,female,49,"independent, meticulous, energetic, compassionate",designer," sci-fi movies,  thriller movies,  action movies"
686,Sarah Brown,male,27,"optimistic, compassionate, caring, outgoing, patient",retired," romantic movies,  documentaries"
687,Robert Johnson,female,61,adventurous,artist," documentaries,  classic movies,  action movies,  romantic movies"
688,John Martinez,male,26,"patient, caring",retired," family-friendly movies,  comedy movies,  classic movies,  romantic movies"
689,James Brown,female,45,"analytical, compassionate, creative, optimistic",engineer," documentaries,  action movies,  comedy movies"
690,Emily Brown,male,68,"patient, creative, independent, optimistic",doctor," comedy movies,  family-friendly movies,  romantic movies,  classic movies,  sci-fi movies"
691,Robert Smith,female,22,"energetic, patient, introspective",artist, comedy movies
692,Emily Miller,male,25,"energetic, empathetic, independent",nurse," classic movies,  family-friendly movies,  comedy movies,  thriller movies"
693,Mary Johnson,female,48,"practical, adventurous, caring",doctor," family-friendly movies,  classic movies"
694,John Taylor,male,68,"practical, energetic, optimistic, adventurous",designer," documentaries,  thriller movies"
695,Emily Garcia,female,30,"ambitious, meticulous, fun-loving, optimistic",farmer," family-friendly movies,  documentaries"
696,Linda Johnson,male,26,"analytical, caring, adventurous",artist," sci-fi movies,  family-friendly movies,  thriller movies"
697,Mary Jones,female,67,"analytical, meticulous, outgoing",artist," romantic movies,  classic movies,  comedy movies,  thriller movies"
698,John Martinez,male,23,"ambitious, introspective, caring, compassionate",lawyer," sci-fi movies,  comedy movies,  romantic movies,  documentaries"
699,Linda Davis,female,64,"independent, adventurous, optimistic",scientist," comedy movies,  thriller movies,  documentaries,  action movies,  classic movies"
700,Linda Martinez,male,66,empathetic,designer," comedy movies,  family-friendly movies"
701,John Johnson,female,57,"introspective, energetic",retired," family-friendly movies,  comedy movies,  thriller movies,  action movies,  documentaries"
702,John Smith,male,38,"analytical, meticulous, adventurous",nurse," sci-fi movies,  romantic movies,  documentaries,  classic movies,  comedy movies"
703,Michael Garcia,female,38,"outgoing, patient, optimistic, compassionate, creative",teacher, classic movies
704,Sarah Garcia,male,24,"compassionate, practical, patient, fun-loving, optimistic",scientist," family-friendly movies,  action movies,  thriller movies,  comedy movies"
705,Jane Williams,female,62,"energetic, fun-loving",artist, family-friendly movies
706,Sarah Miller,male,45,creative,teacher," romantic movies,  comedy movies"
707,James Williams,female,31,adventurous,teacher," family-friendly movies,  documentaries"
708,Sarah Williams,male,30,meticulous,artist," family-friendly movies,  action movies,  documentaries,  classic movies"
709,David Johnson,female,63,optimistic,student," thriller movies,  romantic movies"
710,Robert Martinez,male,22,"caring, practical, adventurous",student, documentaries
711,Jane Brown,female,29,"empathetic, practical, fun-loving, optimistic",artist, sci-fi movies
712,James Miller,male,29,"creative, optimistic",doctor, family-friendly movies
713,Emily Jones,female,36,"empathetic, outgoing",farmer," sci-fi movies,  action movies,  family-friendly movies"
714,John Smith,male,40,"meticulous, analytical",student," classic movies,  family-friendly movies,  sci-fi movies,  thriller movies,  comedy movies"
715,John Davis,female,41,"outgoing, caring, empathetic, ambitious",scientist," documentaries,  comedy movies"
716,Mary Garcia,male,52,"meticulous, empathetic, independent, analytical, energetic",entrepreneur," romantic movies,  thriller movies,  documentaries"
717,Emily Davis,female,42,"meticulous, compassionate, introspective, outgoing",photographer, thriller movies
718,John Johnson,male,59,caring,scientist," sci-fi movies,  romantic movies,  comedy movies,  thriller movies,  action movies"
719,James Garcia,female,36,"introspective, adventurous, practical, caring",lawyer," comedy movies,  documentaries,  romantic movies"
720,John Johnson,male,59,"empathetic, fun-loving, outgoing, adventurous",artist," documentaries,  sci-fi movies,  thriller movies,  action movies"
721,Jane Taylor,female,63,"compassionate, ambitious",writer," documentaries,  family-friendly movies,  action movies,  romantic movies,  classic movies"
722,Linda Smith,male,66,patient,retired," documentaries,  action movies"
723,John Taylor,female,56,adventurous,scientist," sci-fi movies,  comedy movies,  family-friendly movies"
724,Sarah Garcia,male,45,creative,lawyer," family-friendly movies,  sci-fi movies,  documentaries"
725,Mary Williams,female,28,patient,lawyer," romantic movies,  action movies,  sci-fi movies,  family-friendly movies"
726,David Smith,male,57,"caring, meticulous",designer," sci-fi movies,  classic movies,  action movies,  comedy movies,  family-friendly movies"
727,John Taylor,female,27,"meticulous, outgoing",scientist," thriller movies,  sci-fi movies,  documentaries,  comedy movies"
728,Robert Miller,male,69,"introspective, adventurous, analytical",artist," thriller movies,  family-friendly movies"
729,Emily Taylor,female,46,"adventurous, energetic, analytical",lawyer," sci-fi movies,  action movies"
730,Robert Miller,male,58,caring,actor," romantic movies,  documentaries,  classic movies,  family-friendly movies,  sci-fi movies"
731,Robert Garcia,female,26,"energetic, introspective, fun-loving, meticulous",writer," thriller movies,  classic movies,  romantic movies,  action movies"
732,Mary Martinez,male,31,energetic,teacher," comedy movies,  thriller movies"
733,Jane Johnson,female,33,"patient, introspective",scientist," thriller movies,  sci-fi movies,  romantic movies,  comedy movies"
734,Emily Jones,male,63,"caring, fun-loving, adventurous, creative",engineer," classic movies,  thriller movies"
735,Michael Miller,female,58,"analytical, practical",scientist," action movies,  sci-fi movies,  documentaries,  comedy movies"
736,James Taylor,male,40,"creative, outgoing, practical, fun-loving, compassionate",entrepreneur," romantic movies,  family-friendly movies,  thriller movies"
737,Jane Smith,female,69,independent,teacher, sci-fi movies
738,David Jones,male,58,"caring, practical, outgoing, compassionate",actor, classic movies
739,Mary Jones,female,22,"adventurous, analytical, ambitious",actor, classic movies
740,Mary Williams,male,31,"empathetic, energetic, meticulous, introspective",teacher," action movies,  comedy movies"
741,Michael Brown,female,20,compassionate,actor, classic movies
742,Sarah Martinez,male,32,"empathetic, fun-loving, optimistic",lawyer," comedy movies,  sci-fi movies,  romantic movies,  documentaries,  action movies"
743,John Jones,female,34,"outgoing, creative, meticulous, fun-loving, empathetic",doctor," action movies,  family-friendly movies,  classic movies,  sci-fi movies"
744,Emily Johnson,male,60,"optimistic, meticulous",actor," sci-fi movies,  classic movies,  action movies"
745,Michael Martinez,female,53,introspective,nurse," thriller movies,  documentaries,  comedy movies,  sci-fi movies,  family-friendly movies"
746,Emily Martinez,male,38,"ambitious, independent, optimistic",student," action movies,  sci-fi movies,  thriller movies,  family-friendly movies,  classic movies"
747,Linda Davis,female,55,"outgoing, optimistic, patient, practical, analytical",writer," sci-fi movies,  thriller movies,  documentaries,  action movies"
748,James Garcia,male,37,"practical, energetic",scientist," classic movies,  action movies,  family-friendly movies,  documentaries,  sci-fi movies"
749,Jane Johnson,female,65,"meticulous, fun-loving, creative, introspective, compassionate",photographer," classic movies,  family-friendly movies,  action movies,  comedy movies"
750,Emily Jones,male,45,analytical,photographer," sci-fi movies,  comedy movies,  documentaries"
751,David Johnson,female,59,"independent, caring, patient",teacher," action movies,  romantic movies,  sci-fi movies"
752,Emily Smith,male,34,"empathetic, patient, introspective, fun-loving, caring",designer," classic movies,  documentaries,  romantic movies"
753,James Martinez,female,30,"compassionate, practical, independent, energetic",actor," romantic movies,  sci-fi movies"
754,James Miller,male,65,"energetic, fun-loving, optimistic, patient",farmer," thriller movies,  comedy movies"
755,Mary Williams,female,60,"meticulous, caring, outgoing, empathetic, optimistic",musician," family-friendly movies,  action movies,  romantic movies,  comedy movies,  classic movies"
756,Robert Williams,male,62,introspective,teacher," documentaries,  classic movies,  action movies,  sci-fi movies,  family-friendly movies"
757,Sarah Jones,female,46,"practical, energetic, optimistic, meticulous, independent",writer, action movies
758,Sarah Garcia,male,21,"caring, outgoing, practical, energetic",artist," classic movies,  sci-fi movies,  action movies,  comedy movies"
759,David Johnson,female,48,"analytical, caring, fun-loving",nurse," comedy movies,  thriller movies"
760,Linda Miller,male,31,"patient, ambitious, empathetic, practical, analytical",farmer," documentaries,  thriller movies,  family-friendly movies,  action movies"
761,David Smith,female,52,"optimistic, fun-loving, outgoing",doctor," classic movies,  comedy movies"
762,Linda Martinez,male,43,"practical, adventurous, ambitious",lawyer," documentaries,  family-friendly movies,  romantic movies"
763,Robert Martinez,female,45,"practical, optimistic",teacher," action movies,  romantic movies,  documentaries,  comedy movies,  classic movies"
764,Robert Jones,male,59,optimistic,student," romantic movies,  family-friendly movies,  documentaries,  action movies"
765,Sarah Davis,female,54,energetic,musician," thriller movies,  comedy movies,  documentaries"
766,Linda Taylor,male,50,practical,photographer," sci-fi movies,  classic movies,  romantic movies,  family-friendly movies,  comedy movies"
767,Robert Garcia,female,67,"empathetic, fun-loving",farmer," romantic movies,  action movies,  documentaries,  thriller movies"
768,Linda Martinez,male,61,"energetic, fun-loving, empathetic",designer, romantic movies
769,David Davis,female,55,"independent, introspective, adventurous",entrepreneur," thriller movies,  sci-fi movies,  action movies,  comedy movies,  family-friendly movies"
770,Robert Martinez,male,67,"fun-loving, compassionate, independent, empathetic",photographer," sci-fi movies,  comedy movies,  classic movies,  family-friendly movies"
771,Sarah Davis,female,62,"independent, analytical, introspective, creative",doctor," classic movies,  romantic movies,  documentaries"
772,David Williams,male,39,"analytical, patient, creative, meticulous, empathetic",entrepreneur," action movies,  classic movies,  family-friendly movies"
773,Robert Williams,female,28,"empathetic, introspective",doctor," documentaries,  romantic movies,  thriller movies,  sci-fi movies,  family-friendly movies"
774,David Taylor,male,52,fun-loving,entrepreneur," action movies,  comedy movies,  classic movies,  sci-fi movies,  documentaries"
775,David Garcia,female,33,"compassionate, independent, empathetic",teacher," family-friendly movies,  action movies,  sci-fi movies,  romantic movies"
776,James Taylor,male,29,"fun-loving, practical",photographer," thriller movies,  romantic movies,  family-friendly movies,  documentaries"
777,Michael Miller,female,52,"energetic, analytical, ambitious, outgoing",retired, sci-fi movies
778,David Smith,male,68,"caring, empathetic, independent, energetic, analytical",entrepreneur, action movies
779,Sarah Garcia,female,45,"outgoing, patient, practical, compassionate, meticulous",designer," documentaries,  family-friendly movies,  thriller movies,  action movies,  sci-fi movies"
780,Emily Brown,male,32,"compassionate, patient, empathetic, energetic, adventurous",designer," documentaries,  classic movies,  romantic movies,  family-friendly movies,  comedy movies"
781,David Smith,female,58,"ambitious, caring, optimistic",farmer," classic movies,  sci-fi movies,  action movies,  comedy movies"
782,James Jones,male,59,patient,student," thriller movies,  documentaries,  comedy movies,  sci-fi movies"
783,James Davis,female,59,"introspective, patient, empathetic, creative, analytical",scientist," classic movies,  romantic movies"
784,Emily Davis,male,50,"meticulous, compassionate, independent",writer," family-friendly movies,  thriller movies,  romantic movies,  documentaries"
785,Michael Taylor,female,53,empathetic,photographer," sci-fi movies,  romantic movies,  thriller movies,  comedy movies,  classic movies"
786,Michael Miller,male,36,"fun-loving, empathetic, caring, introspective, independent",student," romantic movies,  documentaries"
787,Sarah Brown,female,54,caring,engineer," sci-fi movies,  romantic movies,  thriller movies,  family-friendly movies"
788,Robert Taylor,male,65,patient,teacher, family-friendly movies
789,David Martinez,female,42,"energetic, creative, fun-loving, optimistic",musician, comedy movies
790,Emily Davis,male,31,"adventurous, meticulous",farmer," documentaries,  sci-fi movies,  thriller movies,  romantic movies,  family-friendly movies"
791,Sarah Garcia,female,29,"empathetic, optimistic",engineer," family-friendly movies,  thriller movies,  romantic movies"
792,Jane Jones,male,45,"creative, meticulous, optimistic, patient",actor," family-friendly movies,  romantic movies,  action movies,  documentaries,  thriller movies"
793,John Johnson,female,33,"energetic, optimistic, fun-loving, practical, adventurous",farmer," documentaries,  comedy movies,  classic movies,  sci-fi movies"
794,Sarah Taylor,male,61,"meticulous, analytical, fun-loving",designer, documentaries
795,Jane Davis,female,63,"optimistic, empathetic, fun-loving, adventurous",musician," thriller movies,  comedy movies,  documentaries"
796,Sarah Jones,male,33,meticulous,farmer," sci-fi movies,  comedy movies,  thriller movies"
797,Mary Garcia,female,26,outgoing,teacher," thriller movies,  documentaries,  action movies"
798,Emily Miller,male,52,"independent, energetic, patient, compassionate",retired," action movies,  classic movies,  sci-fi movies"
799,Robert Brown,female,49,"caring, energetic, analytical",artist, thriller movies
800,Linda Martinez,male,51,"empathetic, ambitious, outgoing, creative",writer," sci-fi movies,  classic movies"
801,Jane Garcia,female,67,"creative, introspective, compassionate, independent",actor," documentaries,  romantic movies,  classic movies"
802,James Johnson,male,49,meticulous,farmer," comedy movies,  documentaries"
803,John Davis,female,65,"fun-loving, optimistic, caring, introspective, analytical",retired, romantic movies
804,Linda Jones,male,70,"patient, empathetic, ambitious, optimistic",engineer, family-friendly movies
805,Jane Taylor,female,30,"energetic, fun-loving, independent, outgoing, meticulous",nurse," family-friendly movies,  comedy movies,  action movies"
806,Robert Martinez,male,58,"fun-loving, caring, outgoing, compassionate",student, documentaries
807,Sarah Jones,female,21,"energetic, analytical",writer," documentaries,  action movies,  thriller movies"
808,James Martinez,male,38,outgoing,lawyer," sci-fi movies,  action movies"
809,Mary Smith,female,30,practical,scientist," thriller movies,  documentaries"
810,James Garcia,male,60,"analytical, introspective",designer," action movies,  thriller movies,  family-friendly movies"
811,David Miller,female,60,creative,artist," classic movies,  documentaries,  family-friendly movies,  sci-fi movies"
812,Linda Brown,male,30,ambitious,musician," action movies,  documentaries,  comedy movies"
813,Emily Smith,female,47,"creative, meticulous, empathetic",nurse," action movies,  sci-fi movies,  romantic movies"
814,Jane Williams,male,66,"fun-loving, energetic, introspective",teacher, thriller movies
815,Mary Davis,female,24,independent,retired," action movies,  romantic movies"
816,Linda Williams,male,35,"patient, caring",photographer, romantic movies
817,James Williams,female,23,"compassionate, optimistic, patient, adventurous",photographer," action movies,  thriller movies,  romantic movies"
818,Linda Taylor,male,43,"energetic, practical",photographer," romantic movies,  sci-fi movies,  thriller movies"
819,James Taylor,female,23,fun-loving,designer, classic movies
820,James Brown,male,49,"empathetic, meticulous",writer, romantic movies
821,Michael Brown,female,65,"ambitious, practical, independent, adventurous",student," documentaries,  action movies,  thriller movies,  family-friendly movies,  sci-fi movies"
